MRI_session,Scan,MeanSNR,MeanFD,MaxFD,PctScrub,MinsLeft,FDpostScrub,PctScrub.5,MinsLeft.5,MeanDvarsPre,MeanDvarsPost,CorrelFDPre,CorrelFDPost
,,,,,,,,,,,,,
23199,rest_AP_01,21.05,0.0746,0.6803,0.16,7.1,0.07,0.16,7.1,349.1,427.3,0.5177,-0.384
23199,rest_PA_01,20.19,0.0546,0.1582,0,7.1,0.05,0,7.1,331.3,434.8,0.2273,-0.21
,,,,,,,,,,,,,
23018,rest_AP_01,18.53,0.1016,0.2718,0,7.1,0.1,0,7.1,346.5,396.5,0.7129,-0.152
23018,rest_PA_01,18.41,0.0813,0.1976,0,7.1,0.08,0,7.1,349.1,409.4,0.7018,-0.182
,,,,,,,,,,,,,
22999,rest_AP_01,20.81,0.0949,0.377,1.34,7,0.09,0,7.1,299.7,397,0.7138,-0.284
22999,rest_PA_01,20.83,0.1106,0.7685,2.35,6.9,0.1,0.5,7,296.7,404.5,0.8254,-0.532
,,,,,,,,,,,,,
23161,rest_AP_01,15.46,0.1182,0.3283,0.33,7,0.11,0,7.1,343.7,427.2,0.7645,-0.163
23161,rest_PA_01,15.3,0.133,0.3877,1.51,7,0.13,0,7.1,346.6,442.9,0.8898,-0.121
,,,,,,,,,,,,,
23248,rest_AP_01,31.03,0.1612,1.42,8.08,6.5,0.11,4.54,6.7,330.3,404.7,0.9373,-0.811
23248,rest_PA_01,30.38,0.1169,1.31,3.7,6.8,0.09,1.85,6.9,321.5,419,0.8897,-0.741
,,,,,,,,,,,,,
23230,rest_AP_01,21.55,0.1037,0.3136,0.16,7.1,0.1,0,7.1,343.5,413.9,0.4614,-0.188
23230,rest_PA_01,20.88,0.0899,0.3896,0.84,7,0.08,0,7.1,335,440.5,0.5183,-0.492
,,,,,,,,,,,,,
22941,rest_AP_01,14.92,0.1702,0.4434,5.55,6.7,0.16,0,7.1,398.2,504.9,0.8348,-0.233
22941,rest_PA_01,14.17,0.2194,0.6005,27.1,5.1,0.16,1.34,7,409.5,521.8,0.9293,-0.234
,,,,,,,,,,,,,
23140,rest_AP_01,20.41,0.1417,0.5913,4.71,6.7,0.13,0.16,7.1,313.6,434,0.6641,-0.331
23140,rest_PA_01,20.43,0.144,0.7966,4.37,6.8,0.13,0.5,7,317.4,430.3,0.817,-0.549
,,,,,,,,,,,,,
23023,rest_AP_01,16.77,0.158,7.092,5.38,6.7,0.1,2.52,6.9,365.8,453.7,0.9399,-0.057
23023,rest_PA_01,16.62,0.136,0.4058,3.7,6.8,0.12,0,7.1,361.2,455,0.8334,-0.091
,,,,,,,,,,,,,
23033,rest_AP_01,18.87,0.1505,0.736,7.74,6.5,0.12,1.85,6.9,411.1,396.5,0.8581,-0.591
